transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,efxFeesFormatted,wbnbFeesFormatted
0x083385bb27971aff3173adeef76bc8d438be4ff188e67c40dfc1bd53f37f4c1c,0x10ED43C718714eb63d5aA57B78B54704E256024E,5000000000000,3400000000000,600000000000,1000000000000,WBNB,EFX,2000000000000000,12330837291666022825,0.000005,,0.000005
0x7fecc82376d72d0d5fbc07979864e64e2f529ddd8e54eebd61a5d79822b776bf,0x10ED43C718714eb63d5aA57B78B54704E256024E,5000000000000,3400000000000,600000000000,1000000000000,WBNB,EFX,2000000000000000,6515901355252064486,0.000005,,0.000005
0xe436007adfd3aa768e40b5444a61617c05be73c5513e698b8f60b2f3f98d5286,0x10ED43C718714eb63d5aA57B78B54704E256024E,2000000000000,1360000000000,239999999999.99997,400000000000,EFX,WBNB,800000000000000,272584378907,0.000002,0.000002,
0x4359551afe7c4e694f6b9047d42ef3e11ce424cf8511b8a663c995da20d5a0c0,0x10ED43C718714eb63d5aA57B78B54704E256024E,2000000000000,1360000000000,239999999999.99997,400000000000,EFX,WBNB,800000000000000,202410766416,0.000002,0.000002,
0xf32f729b55d119cfb56fd04428a7ee6bf03d21721cac79a225865d0af2560835,0x10ED43C718714eb63d5aA57B78B54704E256024E,2500000000000,1700000000000,300000000000,500000000000,EFX,WBNB,1000000000000000,189907691768,0.0000025,0.0000025,
0x7b8077f667cf1a6578ac0c7d9312a58e0e5022a80201c74df1d41aa22a06046e,0x10ED43C718714eb63d5aA57B78B54704E256024E,3000000000000,2040000000000,359999999999.99994,600000000000,EFX,WBNB,1200000000000000,168330132389,0.000003,0.000003,
0x44670fd64fdf60c39494cf35531ae88e94c4afc4dc60cadbdb2b27e297fcd0bb,0x10ED43C718714eb63d5aA57B78B54704E256024E,1550000000000,1054000000000,185999999999.99997,310000000000,EFX,WBNB,620000000000000,69452212514,0.00000155,0.00000155,
0x8a4cde844db30cc82f2a5b85f10f664d6df56ae083add4e13d07f49e41b82490,0x10ED43C718714eb63d5aA57B78B54704E256024E,225000000,153000000,26999999.999999996,45000000,WBNB,EFX,90000000000,783842571673774,0.000000000225,,0.000000000225
0x8a8944717c07d121c14bcd8d58ba2a7993019b0f66d371f0f2f46ef589d44632,0x10ED43C718714eb63d5aA57B78B54704E256024E,2000000000000,1360000000000,239999999999.99997,400000000000,EFX,WBNB,800000000000000,91273251772,0.000002,0.000002,
0xc5b7e876ae6266868ee9490870ed3311d93a7a87b9b2ed5d07e4c7ad0fb45db3,0x10ED43C718714eb63d5aA57B78B54704E256024E,75000000,51000000,9000000,15000000,WBNB,EFX,30000000000,278190906782392,0.000000000075,,0.000000000075
0x63032fd6cdee915dd1cf6f9fa227ee7129459a2846fb5ac5d66b42458de2ead4,0x10ED43C718714eb63d5aA57B78B54704E256024E,1250000000000000,850000000000000,150000000000000,250000000000000,WBNB,EFX,500000000000000000,4484811984866704090371,0.00125,,0.00125
0xbed0cedf8ffaf46cf4eb1025933cdda9b70874927ac5cf1e4aa747d9740e0b3a,0x10ED43C718714eb63d5aA57B78B54704E256024E,50000000000000,34000000000000,5999999999999.999,10000000000000,WBNB,EFX,20000000000000000,179027840228243899369,0.00005,,0.00005
0xaeff927f758e67e95cf2f459bf8ede0ee6e9563b0f6a54c151940a2c92b20378,0x61e36Fc4340823a0236e287f95eb4542C0E73A81,1606455124500000,1092389484660000,192774614939999.97,321291024900000,WBNB,EFX,642582049800000000,5737178129891248957440,0.0016064551245,,0.0016064551245
0x7380d83886298867bdb81b91a03e9af2f9b390c97b8712a32a9c27034e9ba7dc,0x10ED43C718714eb63d5aA57B78B54704E256024E,14276220938129464,9707830237928036,1713146512575535.5,2855244187625893,WBNB,EFX,5710488375251785894,49752199878594295791220,0.014276220938129464,,0.014276220938129464
0xf41ded13b85c35159d9d1de66586d01e0bb3beb5daaa60ae083db4ea3ba5c1bf,0x61e36Fc4340823a0236e287f95eb4542C0E73A81,14342945324728123000,9753202820815122000,1721153438967374600,2868589064945624600,EFX,WBNB,5737178129891248957440,668100284901642825,14.342945324728123,14.342945324728123,
0x6d6c5e564c4074b7bfe9a923c7a87e06de35c2e1e7e0870d35b8bc7e156d81c2,0x10ED43C718714eb63d5aA57B78B54704E256024E,24883925604488.78,16921069411052.37,2986071072538.6533,4976785120897.756,WBNB,EFX,9953570241795513,85262069155081664365,0.024883925604487878,,0.024883925604487878
0x1c0aa7f3eb8a959b2492888e6797eee2330670102fc19f6fce0848fac8021aae,0x10ED43C718714eb63d5aA57B78B54704E256024E,575000000000000,391000000000000,68999999999999.99,115000000000000,WBNB,EFX,230000000000000000,1968373110676883820872,0.000575,,0.000575
0x8ab5e09b256d5a5280720c17e144c4c59041e1d9954c6a4b8d5cd75242986506,0x61e36Fc4340823a0236e287f95eb4542C0E73A81,1643814546000000,1117793891280000,197257745519999.97,328762909200000,WBNB,EFX,657525818400000000,5608201458689446394609,0.001643814546,,0.001643814546
0x21885d4236620ebec13ac3d9a6644ef24e3eaee9bfd1dad3cdc6822d4e2a2ab3,0x10ED43C718714eb63d5aA57B78B54704E256024E,13212893177604244,8984767360770886,1585547181312509.2,2642578635520849,WBNB,EFX,5285157271041697429,44079784188206172715776,0.013212893177604244,,0.013212893177604244
0x06c387d3a939a9f2b94af2d516a4072e4999069cfa698e047016a6ed74144356,0x61e36Fc4340823a0236e287f95eb4542C0E73A81,14020503646723617000,9533942479772058000,1682460437606834000,2804100729344723500,EFX,WBNB,5608201458689446394609,680805172251742384,14.020503646723617,14.020503646723617,
0x9503193671c0d2e650e149457cfed6ed7b957d99d2f104ed796d81a54b8ee3b8,0x10ED43C718714eb63d5aA57B78B54704E256024E,56368237500000,38330401500000,6764188499999.999,11273647500000,WBNB,EFX,22547295000000000,185264930856118792737,0.0000563682375,,0.0000563682375
0xf517b161a48240620722dea84e664037abd9c144f5bc6d8fd8952dab95cd2586,0x10ED43C718714eb63d5aA57B78B54704E256024E,30429697925313.82,20692194589213.395,3651563751037.658,6085939585062.764,WBNB,EFX,12171879170125527,100000000000000000000,0.030429697925312882,,0.030429697925312882
0xf3061c99628dda11471f38d5060ebf666939f572f229bcebe7f84691affc9509,0x10ED43C718714eb63d5aA57B78B54704E256024E,201876313343211,137275893073383.47,24225157601185.316,40375262668642.2,WBNB,EFX,80750525337284398,663188651749377010740,0.000201876313343211,,0.000201876313343211
0xb0d4928f28db302400eabbc89d48dcfb675936f030ed8165c36cda341464f0b6,0x10ED43C718714eb63d5aA57B78B54704E256024E,152281853915832.16,103551660662765.86,18273822469899.86,30456370783166.434,WBNB,EFX,60912741566332860,500000000000000000000,0.152281853915831816,,0.152281853915831816
0x887ffd285b236b406349463ee891de03923402a80937bf7c2dc007cc07ce6d3f,0x10ED43C718714eb63d5aA57B78B54704E256024E,543179188199158,369361847975427.44,65181502583898.95,108635837639831.61,WBNB,EFX,217271675279663192,1781616465959773485798,0.000543179188199158,,0.000543179188199158
